CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,Recency_Scaled,Frequency_Scaled,Monetary_Scaled,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Final_Cluster,Segment_Label
12348.0,248,3,90.2,15.033333333333331,140,1.7085492148605177,0.0019066252877515,-0.9114840462702324,1,0,0,1,At-Risk Customers
12349.0,18,1,999.15,17.226724137931033,523,-0.7981098475497693,-0.8594113484539994,0.7521727079563449,2,0,2,2,New/Occasional Buyers
12350.0,309,1,294.4,18.4,196,2.373358792282376,-0.8594113484539994,-0.5377355351166299,1,0,0,1,At-Risk Customers
12352.0,35,8,1010.61,13.843972602739726,437,-0.6128350472846611,2.155201559642129,0.7731480161728987,3,0,1,3,Regular Average Customers
12353.0,203,1,29.300000000000004,14.650000000000002,14,1.2181159200411136,-0.8594113484539994,-1.0229496894105576,1,0,0,1,At-Risk Customers
12354.0,231,1,682.69,17.06725,379,1.5232744145954094,-0.8594113484539994,0.1729540309746159,1,0,0,1,At-Risk Customers
12355.0,213,1,219.0,24.33333333333333,80,1.3271010966676478,-0.8594113484539994,-0.6757406170998895,1,0,0,1,At-Risk Customers
12356.0,245,2,1086.56,32.9260606060606,548,1.6758536618725572,-0.4287523615831239,0.9121597665260628,1,0,0,1,At-Risk Customers
12358.0,1,2,878.22,62.73,202,-0.9833846478148774,-0.4287523615831239,0.5308337880062708,0,0,2,0,Regular Average Customers
12360.0,51,3,1843.16,15.753504273504277,1088,-0.4384587646822064,0.0019066252877515,2.296969382289117,3,0,1,3,Regular Average Customers
12361.0,286,1,174.9,19.433333333333334,90,2.122692886041348,-0.8594113484539994,-0.7564571173049527,1,0,0,1,At-Risk Customers
12363.0,109,2,484.5,25.5,366,0.193655259751692,-0.4287523615831239,-0.1897943403551222,2,0,2,2,New/Occasional Buyers
12364.0,7,3,1106.28,14.183076923076923,1281,-0.917993541838957,0.0019066252877515,0.948253403352454,0,0,2,0,Regular Average Customers
12365.0,290,1,307.94,15.397,172,2.166286956691961,-0.8594113484539994,-0.5129531901557103,1,0,0,1,At-Risk Customers
12367.0,3,1,138.3,15.366666666666667,112,-0.9615876124895706,-0.8594113484539994,-0.8234463215567737,2,0,2,2,New/Occasional Buyers
12371.0,59,1,1300.46,22.42172413793104,508,-0.351270623380979,-0.8594113484539994,1.3036622471125252,0,0,1,0,Regular Average Customers
12372.0,71,3,938.34,21.325909090909093,670,-0.2204884114291379,0.0019066252877515,0.6408717923674587,0,0,2,0,Regular Average Customers
12373.0,310,1,299.1,24.925,166,2.384257309945029,-0.8594113484539994,-0.5291330963192648,1,0,0,1,At-Risk Customers
12374.0,24,1,531.73,18.33551724137931,331,-0.7327187415738488,-0.8594113484539994,-0.1033489819722394,2,0,2,2,New/Occasional Buyers
12375.0,2,3,281.22,20.087142857142855,141,-0.972486130152224,0.0019066252877515,-0.5618589698717937,2,0,2,2,New/Occasional Buyers
12377.0,314,2,1472.52,19.89891891891892,934,2.4278513805956434,-0.4287523615831239,1.618584719341168,1,1,0,1,At-Risk Customers
12379.0,81,3,734.49,19.328684210526315,353,-0.1115032348026037,0.0019066252877515,0.2677638883583407,0,0,2,0,Regular Average Customers
12380.0,21,5,1734.0,18.847826086956523,877,-0.7654142945618091,0.8632245990295024,2.097173165454998,3,0,1,3,Regular Average Customers
12381.0,4,6,1212.11,15.539871794871791,717,-0.9506890948269172,1.293883585900378,1.1419547007833342,3,0,1,3,Regular Average Customers
12383.0,184,6,1200.59,15.59207792207792,1030,1.0110440844506987,1.293883585900378,1.1208695741991543,0,0,0,0,Regular Average Customers
12384.0,28,3,277.16,14.587368421052632,103,-0.6891246709232351,0.0019066252877515,-0.5692900127478154,2,0,2,2,New/Occasional Buyers
12388.0,15,6,2466.7000000000003,26.523655913978494,1094,-0.8308054005377296,1.293883585900378,3.438238464780388,3,0,1,3,Regular Average Customers
12390.0,79,1,407.74,15.682307692307692,308,-0.1333002701279106,-0.8594113484539994,-0.3302886386712365,2,0,2,2,New/Occasional Buyers
12391.0,21,1,406.88,4.520888888888889,263,-0.7654142945618091,-0.8594113484539994,-0.3318627019405415,2,0,2,2,New/Occasional Buyers
12393.0,71,4,1193.5,20.57758620689655,618,-0.2204884114291379,0.432565612158627,1.107892703758023,0,0,2,0,Regular Average Customers
12394.0,216,1,331.18,17.430526315789475,178,1.3597966496556082,-0.8594113484539994,-0.470416875761931,1,0,0,1,At-Risk Customers
12397.0,35,2,1720.01,15.779908256880734,1139,-0.6128350472846611,-0.4287523615831239,2.071567182736884,0,0,1,0,Regular Average Customers
12398.0,45,1,1349.44,16.659753086419755,1311,-0.5038498706581269,-0.8594113484539994,1.393310641217831,0,0,1,0,Regular Average Customers
12399.0,118,4,729.15,15.85108695652174,699,0.2917419187155728,0.432565612158627,0.2579900536396323,0,0,0,0,Regular Average Customers
